1000,Motorolla,normal,on,90,87
2000,Motorolla,normal,on,84,94
3000,Motorolla,normal,on,87,89
1000,Motorolla,normal,on,82,91
2000,Motorolla,normal,on,85,89
3000,Motorolla,normal,on,86,87
1000,Motorolla,normal,on,94,90
2000,Motorolla,normal,on,94,93
3000,Motorolla,normal,on,91,91
1000,Motorolla,normal,on,84,90
2000,Motorolla,normal,on,83,90
3000,Motorolla,normal,on,93,91
1000,Motorolla,normal,on,84,94
2000,Motorolla,normal,on,85,89
3000,Motorolla,normal,on,82,92
2000,Motorolla,normal,on,88,90
2000,Motorolla,normal,on,91,90
2000,Motorolla,normal,on,93,89
2000,Motorolla,normal,on,85,91
2000,Motorolla,normal,on,92,89
2000,Motorolla,normal,on,81,93
2000,Motorolla,normal,on,93,86
2000,Motorolla,normal,on,90,94
2000,Motorolla,normal,on,85,89
3000,Motorolla,normal,on,82,89
3000,Motorolla,normal,on,85,87
3000,Motorolla,normal,on,81,89
3000,Motorolla,normal,on,93,90
3000,Motorolla,normal,on,86,85
3000,Motorolla,normal,on,91,93
3000,Motorolla,normal,on,83,85
3000,Motorolla,normal,on,80,86
1000,Motorolla,normal,on,81,94
1000,Motorolla,normal,on,89,90
1000,Motorolla,normal,on,93,90
1000,Motorolla,normal,on,82,89
1000,Motorolla,normal,on,84,87
1000,Motorolla,normal,on,88,89
1000,Motorolla,normal,on,83,91
1000,Motorolla,normal,on,89,85
1000,Motorolla,normal,on,85,85
3000,Motorolla,normal,on,87,93
1000,Motorolla,normal,on,93,92
2000,Motorolla,normal,on,87,90
3000,Motorolla,normal,on,92,91
1000,Motorolla,normal,on,92,88
2000,Motorolla,normal,on,93,91
3000,Motorolla,normal,on,93,85
1000,Motorolla,normal,on,83,89
2000,Motorolla,normal,on,91,93
3000,Motorolla,normal,on,90,90
1000,Motorolla,normal,on,87,88
2000,Motorolla,normal,on,90,86
3000,Motorolla,normal,on,92,88
2000,Motorolla,normal,on,82,89
1000,Motorolla,normal,on,80,92
3000,Motorolla,normal,on,93,85
2000,Motorolla,normal,on,86,93
1000,Motorolla,normal,on,87,87
3000,Motorolla,normal,on,91,85
2000,Motorolla,normal,on,80,89
1000,Motorolla,normal,on,94,92
3000,Motorolla,normal,on,81,88
1000,Motorolla,normal,on,84,87
2000,Motorolla,normal,on,87,91
3000,Motorolla,normal,on,88,93
1000,Motorolla,normal,on,84,87
2000,Motorolla,normal,on,85,89
3000,Motorolla,normal,on,94,90
1000,Motorolla,normal,on,84,91
2000,Motorolla,normal,on,92,89
3000,Motorolla,normal,on,94,94
1000,Motorolla,normal,on,85,86
2000,Motorolla,normal,on,94,90
3000,Motorolla,normal,on,86,90
1000,Motorolla,normal,on,81,86
2000,Motorolla,normal,on,90,94
3000,Motorolla,normal,on,81,88
1000,Motorolla,normal,on,85,91
2000,Motorolla,normal,on,94,89
3000,Motorolla,normal,on,83,91
1000,Motorolla,normal,on,94,89
2000,Motorolla,normal,on,86,90
3000,Motorolla,normal,on,82,90
2000,Motorolla,normal,on,88,89
1000,Motorolla,normal,on,87,85
3000,Motorolla,normal,on,90,92
2000,Motorolla,normal,on,88,90
1000,Motorolla,normal,on,90,91
3000,Motorolla,normal,on,84,91
2000,Motorolla,normal,on,93,93
1000,Motorolla,normal,on,85,87
1000,Motorolla,normal,on,93,90
1000,Motorolla,normal,on,87,92
1000,Motorolla,normal,on,91,86
1000,Motorolla,normal,on,86,87
2000,Motorolla,normal,on,92,86
2000,Motorolla,normal,on,82,94
2000,Motorolla,normal,on,93,94
3000,Motorolla,normal,on,80,93
3000,Motorolla,normal,on,81,90
3000,Motorolla,normal,on,82,90
3000,Motorolla,normal,on,83,89
3000,Motorolla,normal,on,84,92
3000,Motorolla,normal,on,85,92
3000,Motorolla,normal,on,86,91
3000,Motorolla,normal,on,87,82
3000,Motorolla,normal,on,88,83
1000,Motorolla,normal,on,93,93
2000,Motorolla,normal,on,80,87
2000,Motorolla,normal,on,89,89
2000,Motorolla,normal,on,86,85
2000,Motorolla,normal,on,81,87
2000,Motorolla,normal,on,82,92
1000,Motorolla,normal,on,80,89
1000,Motorolla,normal,on,84,90
1000,Motorolla,normal,on,88,93
2000,Motorolla,normal,on,89,91
1000,Motorolla,normal,on,82,86
3000,Motorolla,normal,on,89,88
2000,Motorolla,normal,on,91,89
1000,Motorolla,normal,on,82,91
3000,Motorolla,normal,on,90,85
2000,Motorolla,normal,on,90,88
1000,Motorolla,normal,on,82,93
3000,Motorolla,normal,on,91,84
2000,Motorolla,normal,on,94,92
1000,Motorolla,normal,on,82,87
